id,posttypeid,posttype,title,acceptedanswerid,parentid,creationdate,score,viewcount,owneruserid,lasteditoruserid,tags
2,1,Question,How can a group track database schema changes?,4,,2011-01-03,68,11533,7,97,<mysql><version-control><schema>
3,1,Question,What is an effective way of labeling columns in a database?,,,2011-01-03,30,1302,17,97,<database-design><erd>
4,2,Answer,,,2,2011-01-03,46,,18,1396,
5,1,Question,What are the differences between NoSQL and a traditional RDBMS?,73,,2011-01-03,71,42961,24,97,<nosql><rdbms><database-recommendation>
6,1,Question,What is the difference between PostgreSQL 9.0 Replication and Slony-I?,38,,2011-01-03,10,1922,30,877,<postgresql><replication>
7,2,Answer,,,3,2011-01-03,33,,24,171,
8,2,Answer,,,3,2011-01-03,7,,18,877,
9,2,Answer,,,5,2011-01-03,13,,34,6222,
14,1,Question,"When is the right time to use MariaDB instead of MySQL, and Why?",17,,2011-01-03,38,6308,41,877,<mysql><mariadb><database-recommendation>
17,2,Answer,,,14,2011-01-03,15,,7,877,
19,2,Answer,,,3,2011-01-03,9,,21,21,
20,1,Question,How can I optimize a mysqldump of a large database?,34,,2011-01-03,200,266614,43,877,<mysql><performance><innodb><backup><mysqldump>
21,1,Question,Is it possible to use SQLite as a client-server database?,687,,2011-01-03,41,75834,41,877,<sqlite>
23,2,Answer,,,20,2011-01-03,20,,22,1192,
24,2,Answer,,,2,2011-01-03,8,,26,-1,
25,2,Answer,,,5,2011-01-03,22,,60,2660,
26,2,Answer,,,2,2011-01-03,24,,25,2708,
28,2,Answer,,,20,2011-01-03,16,,14,14,
29,1,Question,Where are some useful SQL puzzles to teach SQL in a workplace?,44,,2011-01-03,104,41854,45,10361,<learning>
30,1,Question,Is there a good way to run a trigger for each record in a postgres table?,,,2011-01-03,24,6872,51,3684,<postgresql><trigger><plpgsql>
31,1,Question,Fast database for a small microcontroller,,,2011-01-03,10,4434,17,154,<database-recommendation><embedded>
33,1,Question,Where can I find the mysql slow log?,35,,2011-01-03,31,64798,22,-1,<mysql><performance><slow-log>
34,2,Answer,,,20,2011-01-03,161,,61,61,
