id,reputation,creationdate,displayname,views,upvotes,downvotes
-1,1,2011-01-03,Community,863,12299,8651
2,101,2011-01-03,Geoff Dalgas,64,10,0
3,101,2011-01-03,balpha,35,4,0
4,212,2011-01-03,Nick Craver,61,11,1
5,101,2011-01-03,Emmett,32,2,0
6,100,2011-01-03,Robert Cartaino,36,0,2
7,1128,2011-01-03,Toby,69,18,0
8,2949,2011-01-03,ilhan,142,12,0
9,101,2011-01-03,Humpton,12,7,0
10,175,2011-01-03,Kim,27,1,1
11,1067,2011-01-03,REW,156,19,0
12,191,2011-01-03,Ramy,13,16,1
13,1101,2011-01-03,indyK1ng,68,0,0
14,2207,2011-01-03,David Hall,48,6,0
16,339,2011-01-03,SchwartzE,20,19,0
17,501,2011-01-03,Thomas O,23,7,1
18,1844,2011-01-03,eiefai,46,42,0
19,533,2011-01-03,Sevki,15,1,0
20,33,2011-01-03,Trent,5,0,0
21,391,2011-01-03,bsoist,9,8,0
22,2825,2011-01-03,poelinca,132,35,0
24,2248,2011-01-03,Spredzy,104,21,1
25,371,2011-01-03,Larry Smithmier,46,50,0
26,1007,2011-01-03,D. Lambert,63,23,1
28,101,2011-01-03,Alan Featherston,2,0,0
29,632,2011-01-03,ScottCher,98,51,6
30,263,2011-01-03,Johanna Larsson,23,7,0
31,151,2011-01-03,steve.lippert,6,10,0
32,101,2011-01-03,EJC,5,0,0
33,101,2011-01-03,Nicholas Trandem,3,2,0
34,26856,2011-01-03,mrdenny,2888,492,58
35,101,2011-01-03,DanTilkin,3,0,0
36,101,2011-01-03,Novitzky,2,0,0
37,101,2011-01-03,Elie,2,8,0
38,103,2011-01-03,Yahel,5,3,0
39,4763,2011-01-03,BenV,94,83,2
40,101,2011-01-03,0x49D1,1,30,0
41,2538,2011-01-03,Maniero,151,764,1
42,857,2011-01-03,Uwe Keim,36,219,0
43,4099,2011-01-03,Patrick,169,16,0
44,3251,2011-01-03,Lazer,206,47,2
45,477,2011-01-03,testerab,38,296,0
46,412,2011-01-03,ddeimeke,38,1,0
47,881,2011-01-03,RateControl,46,154,0
48,3113,2011-01-03,BrunoLM,119,32,0
